user_id,actual,model_preds
25,"[  885863   948509   992542   850841   866140   929018   958023   979877
   989101   991442  1000002  1029743  1035386  1075175  1110244  1113584
  1135768  5568378  9526431 12301100 12731623 13213122   855310   892920
   964871  1070845  9487421  9487423  1004909 13008065  5567037   934676
  1027039 16733475  6534178   877226]","[5568378, 1065593, 1012284, 948509, 1135768, 12949590, 929018, 1075786]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
27,"[  883186  1005861  1016302  1052833  1057777  1062860  1077409  7409957
 10182813   959409   996425  9419470 17214679  1082185  1004436  1046584
   897449   959345  1003836  1029252  1059308  7167249   918733  1017982
  1133072  1138423  1019479 15927661  1048373  1101589   881529 17214971
   907491 12673243  1065669 12599756 12731808 13095517  5566804 13189890
 14025461   949965  1054383  1031923 13133557   943833 13190283  1002558
  1136741]","[1077555, 918733, 1003836, 1005861, 1019479, 1031923, 1065669, 7409957, 12673243, 1017982]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
31,"[  855916   948239  1054424  1126899  5570383   982469  5569230  5570467
  5571261 15452705  6534178   819765   841220   847982   859075   896085
   898847   909714   919427   921288   921744   968480   971709  1013503
  1013641  1040807  1044895  1055504  1056492  1082185  1095100  1096290
  1117723  1132789  1135578  1136257  5978656  7166865  7169088  8249443
 12673433  1082990   819978   860975   874058   900842   976199   978306
   981760   992786   997907  1007434  1010676  1058779  1063577  1077410
  1081582  1085780  1123556  1136397  1138487  7166839  7409621]","[1070820, 1136257, 1110142, 1113141, 1062128, 12385374, 898847, 907647, 1048563, 858918]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
39,"[  833119   838859   840361   889994   892768   896799   979987   999318
  1034686  1077373  1080014  1082185  1126899  9677484 12524019 12524365
   872137   924610  5577030 13910086   835098   932741   942817   961020
   971949  1013807  1041259  1042421  1049708  1071513  1093113  1110700
  1127716  5566697 12524957   933633   836181   845208   860037   873627
   888835   904283   907014   908145   929668   933303   941307   951227
   961554   962568   962967   964835   969836   971807   981760   988416
   995785  1011394  1017201  1025581  1101449  1115098  1121699  1137025
  5568249  6513713  6602697  7025203  7160231  9194491  9527257  9677886
 13213074 13504403 13512828 13945181 15452171 15596515]","[1126899, 1136257, 7433888, 857503]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
40,"[  821565   840361   859075   876115   897413   903325   907308   922895
   927191   928092   948190   953476   975324   986947   989339   994262
   995242   995785   995852  1037863  1042697  1047226  1056651  1061220
  1082185  1104343  1117824  1128240  5568845  7409845  8205731 12731518
 12731632 13416167 14024972 15597127 15971630   863505   900842   937573
   975644  1044895 10150194  6534178   834484   845208   845288   858439
   880150   893802   897954   904148   912873   932242   935824   947441
   962568   963868  1004250  1007746  1009567  1012816  1048962  1053304
  1053403  1075755  1076587  1076881  1113467  1131384  5566884  5583944
  5585735  5590287  6034857  7409698  9677478 12487752 12757544 15927935
   913210   926065  1083043  1112205  9913338   883404   884677   919681
   958046   961889  1012556  1029595 13186440   883202   961023   961554
  1068982 12582106  1055504  1133826   878996   884039   912676   921288
   939119   952981   973868   981686  1001680  1019212  1022956  1040898
  1043063  1067820  1079067  1082172  5584808  5585510  5588365  5591894
  7143068  7409951  7410215 10457101 13189958   835279   857503   874976
   890999   931635  1032961  6442787 10356542 12456375 13095651 13190142
   871188  1123454  9487987   838554   935086]","[840361, 1104343, 995852, 1056651, 927191, 1035843, 926065, 9913338, 928092, 897954]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
42,"[  837569   976998  1117500 13190673   829621   839656   916122   943522
   990440  1064550  1135460  5995177  6602697 15717070 15717272  1051211
  1082185   855557   966695   981760  1060673  9834742 13190283   893811
   920432  1114604 13190153]","[897953, 1135460, 1019011, 976998, 990440, 1112766, 1076195, 946839, 839656, 6602697]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
43,[ 899038  865330 1049918 1106523 1120741],"[], Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,,                            15926886]"
46,"[  823721   835618   853586   857503   898342   960732   969932   979523
   980864  1029743  1106271  5570383  7442551  7443166 16809173 12263016
 12263083 15717106   819518   823704   839243   839454   841159   845705
   846014   850102   857719   867188   869577   873902   874149   882247
   911812   923746   926916   942817   944249   944486   962568   987562
  1013503  1031633  1032873  1039682  1087433  1094619  1098066  7441725
  9268695  9523079 12605127 13094739   822046   871402   923723   949932
   955262  1031483  1071594  1084028  1127699  9487553   826249   830935
   834631   847025   849297   862335   897125   934369   950935  1043971
  1050534  1066069  1082185  1115098  1122358  1134552  5569327  8090519
 15926712 15926844   896862  1001702  1064536   823858   834117   866211
   878996   883932   927783   932242   962615  1045069  1046587  1121360
 12384806 12731632   823530   889649   999104  1074333  1087755  1135476
 12731466 15596145 15687070]","[923746, 826249, 883932, 950935, 5568197, 990797, 998119, 835278, 1082212, 1010185]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
49,"[  831808   840732   846202   873782   893501   900770   911311   936741
   990256  1011427  1014915  1028715  1051882  1054402  1070820  1074333
  1086061  1101771  1107420  1115228  1125391  1129610  1139569  5569471
  8156489 13134075   823704   879049   967994   969980   904236  6632909
   834631   839243   841236   862732   874617   899201   922381   924786
   932242   940108   949645   981760   982960   987941   999134  1042907
  1053530  1078346  1082185  1096851  1104056  1115175  1123842  1126899
 10121646 10204673 12302069 16805728   825365   863447   874972   901067
   916122   923746   928961   935200   989069  1024306  1069268  1110111
  5979156  8119129 15571171 15860306   837602   845294  9368215  6534178
   999250  1123467 13512004]","[5569471, 1018670, 917654, 867931, 1028715, 911311, 1129610, 1022859]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
52,"[  864617   880438   927400   937371   949991  1064380  1087376 15716445
 15973164   819765   830850   834484   837865   840361   841179   850795
   878880   878996   895652   900802   904997   907014   915684   930118
   948665   962274   962568   965331   972665   979707   983261   989045
   995478   995785  1003600  1016539  1022119  1026748  1030182  1038497
  1039627  1040371  1040693  1053690  1056740  1060408  1064478  1067779
  1072437  1074754  1082185  1085983  1088393  1111236  1112333  1115553
  5564901  6039759  9296804  9553047 10121965 10285006 10355865 12984929
 13417048 13511916 13512916  6544236  1106523  1116020  1128244  1131351]","[1068719, 840361, 865705, 824305, 850795, 1088393, 1105301, 915349, 878880, 879280]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
55,"[  844165 17283348  6602759   849843   871756   935393   823758 15926844
  9547020   840361  1116589]","[844165, 849843, 13008334]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
56,"[  821324   834484   837242   885023   890344   893039   912669   948239
   967994   995242  1042702  1048175  1056651  6463775  7433574  8090537
 10457044   853221   870315   948102   981760  1009187  1013321  1038894
  1039796  1100972  1101010  5569230  8181106  9803545 12301100 15831322
   834631   853099   867621   891415   903239   929726   973916  1004906
  1016286  1028621  1051781 13986261 13986739 15800945 15972319 15972408
 15972931   842434   845288   903325   919682   995645  1009449  1068651
  1071333  5571444  6602711  7168417 15716671 15716684 15717069   820165
   823626   832678   848471   860776   878636   878996   881857   896264
   900586   917901   940947   961554   979707  1006342  1055504  1058997
  1082185  1112333  9655208 15596204 15596616   839419   883202   961370
   985181   990797  1041259  1058214  1116821  1119051  1119340  5568072
  5591793  9445919  9571047 15452892 17106039   908531  7168521  9487780
 15597129   917459  1022097  1044099  1069621  1139120  5584832  9655212
 13416709]","[5569230, 976199, 13115501, 1023226, 878637, 1042702, 900586, 1107661, 855544, 1040935]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
57,"[  931108   947147   952122 17104444 17105058 17249614  1011141 12781597
 12781914   861615   866227   933272   967929   829852   842264   855557
   860776   877226   936723   940980   983278   989871   995785   997907
  1075170 12670635 13213150   847270   938911  8293219  9222020 12352400
 12757506   828867   882305   934369  1106523  5586440  5592373 16769917
 16769828 16769996   843891   862070   862725  9420288 16769709   918490
   975705   977649   980447  1100049 13774738   859121  6533608  6534404
 17214960]","[868423, 861615, 1048563, 869024, 986912, 6904666]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
58,"[  819487   840361   844166   919180   924198   950282   953243   975644
  1043590  1054539  1070820  1120443  5569230  5569374  5569471  5575861
  7442007 12352293   821867   834484   850133   856345   869676   888178
   899838   922340   932242   938300   958891   970030   979707   993118
   999891  1012713  1016129  1025650  1028816  1029372  1041259  1104695
  1125478  1125837  1131620  6546216  7155863 12456058 12696250 12731704
 13071902 13073103 13213344 13876348   831628   862852   894494   900586
   967307   977780   991747  1039831  1042817  1076176  6034857  8159841
  9833549 12731616 13381494 13511555 15452576 15927215   870515   905636
   959455  6534178   821200   825180   829802   854731   892314   905582
   909714   945273   959219   961554   989824   992402   999639  1031419
  1033845  1040693  1042867  1055425  1062340  1067928  1082185  1092446
 10150089 10344718 12695508 13008280 13039578 13158894 14077636 15596764
 15972074 17105399  1000237  1135476  7409974]","[840361, 1058997, 1126899, 862349, 1070820, 865156, 1075074, 856345, 1104343, 964262]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
67,"[15512234 17105530   825494   868082   882305   894232   934507   981760
   987133   999104  1008235  1029743  1030282  1039589  1042438  1066069
  1104414  1119546  1122255  1129082  5569230  5569471  5978648  6534035
  9211125  9420067 12301404 12301784 12810292 13417761 13512668 15926886
 15926927   985119  1106523 10251745 13911022   876256   886395   914190
 10250438   826385   833025   835278   869728   882830   892556   902167
   908846   931671   943141   945673   951590   961554   969725   974108
   998119  1004945  1055646  1077224  1079820  1115057  1120362  1126252
  1128016  1139651  5571310  6534480  8358409 12605614 12757217 15971908
 15973146 16769856 16809649 17106131   826249   844179   856060   889904
   934676   948509   953476   965766   972320  1017841  1038462  1046587
  1067200  1075601  1108595  5565420  5996541  6979753  8119093 13986099
 15926725   862349   925626   969494   971922   989935  1072257  1082185
  1115904   856772   861819   908531   943233   952317  1001702  1048440
  1104205  1133018  1134522  9194664  1009047  5567545 10285442  6534178
   819840   835243   841024   864705   867020   868953   881608   902304
   905868   908972   918733   930283   945779   946458   954543   993379
  1009200  1011832  1022531  1025650  1056762  1059498  1102927  7409548
  8159917 12649485   839747   868423   880741   932530   965530   982112
   983316   983507   984232  1039831  1055737  1061943  1081177  1127732
  8181355 12487154 13417588 15742100 15926885 15927215 17104772   827271
   830750   832335   870547   891217   893018   917839   920844   927191
   948119   950439   975644   992870  1003836  1033324  1054262  1068343
  1109516  5592931  8116306  9526666 10457532 12488011 14043817 14043821
 14043825 14050460 14050461 16809471   867188   820361   915398   933835
   934172   938566   946839   954347   977780  1018769  1028816  1033707
  1045080  1101502  1109371  1113554  1118946  8204126 15926863   869220
  1053287   843346   866227  1069566  1116392  7440663  9553042 13910823
 15596938 15660079 15863916   846652   860167   873203   951190   963971
  1010573  1038217  1080110  1089888  1095275  1129576  7110357 15831034
 15831452   886481   913785   983261   991949   822785   826860   885697
   988957   996156   999971  1049788  1079292  1105616  1110244  9526563
 15506577]","[908531, 826249, 833025, 951590, 7168026, 914190, 5568729, 1104414, 846830, 951197]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
71,"[  847790   852856  1008288  1056509 12302069 13133815   889904   909894
   830156   856553   877601  1003188  1012517  1115259  1133299 10149656]","[1092026, 908531, 914190, 1132280]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
74,"[  849843   901578   907014   981760   985922  1001148  1003836  1049788
  1076056  1077143  1077555  1085369  1133018  5569374  5584645  5588238
  9571047   830795   890695   935284   959409  1043590  1044078  1050310
  1127624 15973034   849701   850533   919828   937571   949645   977033
   998373  1043128  1078346  1082185  1106523  1126045  1131974  5591538
 15926927 15973154   878996   901666   911812   926422   960142  1005186
 15972091]","[1133018, 827683, 1058021, 899459, 845208, 1105488, 1098248]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
77,"[  840102   843898   877498   892531   900586   911470   965821   966143
   968417   971195   986760   997988  1003188  1043590  1070538  1106523
  1121393  1126899  5592772  7147162  8156610  9911484 10285141 12781238
 12984227 13940278 14025461   908064 10457110   846554   920971   931757
   955921  1017220  1082185  5995609  5995692  6391497  6979128  7410071
  9573206 10285144 13417590 17105257   873964   908531   918462   962229
   962609   972969   981760   987562   991205  1029968  1057365  1077430
  1134294  1137387  9521787  9677949  9912215 10285373 10356370 13417502
   855031   948670   972193  1043563  9396697 12781691 15801300]","[908531, 859075, 893018, 1038217, 849843, 1126899, 1070820, 992151, 1029504, 989249]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
78,"[ 1039627  1088835  7025047   849843   896369   995055   998984  1077066
  1085637  6773232   820321   923746   968932   978965  1023027  1029968
  1082185  1084331  1094624  5995609  9420312  9573206 15717116   989249
  1003836  1010675  1120085 12731616 12731632 12947679   953134  1013321
  1052325   950098  1124729 10204824   838739   895606   896465   946757
   952972  1048325  1135768 13115903 13672224  1003188   847789   840361
   900453  1138189 12172240   835098   835634   966960   976998  1074172
  1096668]","[1132770, 849843, 9573206, 920308, 9420312, 995055, 904493, 1003836, 9420336, 5591154]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
80,"[  907418   915874   829138   829823   853124   868147   933067   951971
   970030   978129   986947   995785  1038746  1081177  1082185 13877096
 15972152   820291   971242   919534   942556   993804  1003188  1106073
  1098066  5568378 13190153   844023   866211   883404   885441   901302
   953561   969687   993617   993638  1029743  1132771 12947679 15716684]","[833025, 896369, 840361, 909894, 948254, 1003188, 1129576, 1005186, 1039156, 866211]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
85,"[  839419   876795   896862   912279   943513  1003836  1005861  1038746
  1092045  1113588  1118533  1127732  1139782 12172355 13213485 14025731
 15596933 15597066 15716783 15926775 17104857   887691   963502  1026118
  1065067   945086   971096 15686758 16770135   897954  1020682  1051989
 15926712   819840   913671  1091158  1097418  5588582  6602440 12599596
 12696250   876592   933361   973594  1074928   839753   841309   853904
   881443   898829   938596   946244   958567   967569  1014977  1022843
  1097280  1105769  1107543  7443306  8203851 16100486   859075   873203
   979746   997309  1018298  1029372  1077540  1082185  1132343 13416937
 16100266  1112592  1005902]","[], Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,,                            15926886]"
86,"[  863505   865026   866488   894236   951590   961554  1029743  1116020
  1132464  5564199  5564569  5995474  6391203  9487340   823646   825180
   844179   866227   867668   878996   879689   896292   910255   939097
   965331  1005186  1009046  1032631  1037863  1048445  1048462  1054814
  1069306  1072576  1086713  1101174  1117616  1133018  5995778  9245106
 13906634 15512148 15597005 16809593]","[883932, 865026, 1091365, 13506200, 9707240]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
97,"[  844165   871754   896862   924804   995242  1017896  1076875  1096036
  1107661  1120443  1130858  6533765  6534178   822407   831509   833025
   891961   917438   921744   938700   940095   951197   957013   982493
   990797   991999   997988  1013321  1014238  1021116  1026346  1030819
  1035136  1043590  1077285  1113820  1114597  1132036  1133018  1134810
  6979048  9213933  9297017 10285373 12731430 13416783   844179   880888
   979707   995785  1026118  1094308  1075368   944139   981760  1042907
   927291   835618   839162   845208   860975   883932   886971   907014
   911156   927191   938139   962229   965719   987562   995896  1018769
  1055646  1068343  1111072  1114765  1115139  1126746  1131550  5582789
  5583547  5584620  5585635  5585727  5586642  6034857 13115898 15452534]","[871756, 833025, 840361, 1046584, 987562, 1041796, 1105301, 1009368, 895680, 999858]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
98,"[  847241   877498  1091858   878302   909714   942088  1015974  1082185
  1089457  7440663 15973289   885321  1049661  1053985   862349  1002130
 12648967 15452607 15452883   888210   913202   943137   987615  1137483
 12262955   902396   961447   966103 13910573 17165685  1018278  5995596
 12810645   928049   978974  1012913  1053754  1128647  9707078   838097
   868319   953476   958601  1070820   838733  9526430   821344   851057
   879948 16729415   953104   960984   976998 15972298   826784   840361
   886996   940631   961313  1095552  9859133 12263841 12670071]","[923746, 844165, 1065593, 1043590, 1023958, 928049, 1113588, 953476, 920308, 1128647]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
101,"[ 5568489  5569230  5569471  5569845  5978648  6533236  6533293  6534480
   864143   866227  1055168   986760  1118533 12524925   833870   852864
   914190   954363   970605   994262  1072576  1079820  1079987  1106523
  1124507  1136237  7409880 12731432 12811993   839818   870547  1082185
  1131713  6533765  6534178 13910795   865026   951590  1027773 10312139
 16058585   822936   828143   862349   887138   910309  1019078  1026094
  1112560  1125199 13416351   909894   929410  1121360  1133018   973861
  1013187  1013321  1071343]","[1133018, 913278, 833025, 1007911, 909894, 1048462, 914190, 925626, 940766, 1119089]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
104,"[  821730   833465   837569   861341   886959   914484   978913  5566307
  5569230  5569471  9858662   840361   844179   847270   861792   882604
   892531   892844   908846   909894   979707  1008787  1029743  1081177
  6919469 15926927   822225   828370   833025   837751   838186   848071
   849688   851066   860776   862283   870128   882496   882830   890802
   901470   908064   914190   916588   919534   928959   930917   930955
   931777   938478   948254   960732   961554   962568   962991   968164
   974108   984491   991592   995303  1016302  1021108  1033234  1035121
  1048299  1051989  1062340  1068093  1069506  1071342  1076161  1079970
  1081919  1092446  1097815  1098692  1103812  1109371  1119261  1126808
  1132280  1133926  1136988  5569327  5978656  7409907  8090509  8090536
  8090537  9802529 15596338 15926827 17104661 17178955 17179426 17179662
  1062128   837098   839238   843304   843944   889965   937110   986393
  1039975  1064050  1071554  1093490  1110572  1135959  9858585   845774
   854852   955258   995242  1024306  1029968  1033845  1058554  1085476
  1098844  1102879  5568378  7025250  7442008   839683   850841   859010
   879635   880253   890612   908489   963680   965565   986121  1000672
  1012941  1066882  1082185  1108092  1110764  1112212  1115874  1117336
  1135681  1137387  6533182  6533437  6904423  9296856  9527558 12301109
 15596389 15596469 15597019]","[1074754, 5569327, 838186, 916381, 991592, 1130458, 990797, 1108092, 1085476, 914190]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
